Data,Ente,gg,mezzo,Km_auto,Km_mezzi,Km_bici,Km_piedi,alimentazione,NOX,NOXT,PM10,PM10T,CO2,CO2T
2020/06/05 9:11:32 AM EET,Ven,57.0,Auto/Moto/Scooter/Ciclomotore,100.0,0.0,0.0,0.0,GPL,0.03755,0.00214035,0.0032199999999999998,0.00018354,16.71111,0.9525332700000001
2020/06/05 9:11:55 AM EET,FVG,55.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:11:56 AM EET,Ven,19.0,Auto/Moto/Scooter/Ciclomotore,20.0,0.0,0.0,0.0,Diesel,0.00751,0.00014269,0.000644,1.2236000000000001e-05,3.3422219999999996,0.06350221799999999
2020/06/05 9:12:17 AM EET,Lomb,41.0,Bicicletta/monopattino,,,,,,,,,,,
2020/06/05 9:12:32 AM EET,EMR,62.0,Auto/Moto/Scooter/Ciclomotore,20.0,0.0,0.0,0.0,Benzina,0.00751,0.0006759,0.000644,5.796000000000001e-05,3.3422219999999996,0.30079997999999997
2020/06/05 9:12:37 AM EET,Ven,50.0,Auto/Moto/Scooter/Ciclomotore,6.0,0.0,0.0,0.0,Benzina,0.0022530000000000002,0.00011265000000000001,0.00019319999999999998,9.659999999999999e-06,1.0026666,0.050133330000000004
2020/06/05 9:12:40 AM EET,EMR,50.0,Auto/Moto/Scooter/Ciclomotore,42.0,0.0,0.0,0.0,Metano,0.015771,0.00078855,0.0013524000000000001,6.762000000000002e-05,7.018666199999999,0.35093330999999994
2020/06/05 9:12:47 AM EET,EMR,44.0,Bicicletta/monopattino,0.0,0.0,4.0,5.8,NON USO QUESTA MODALITA' DI SPOSTAMENTO,,,,,,
2020/06/05 9:12:51 AM EET,Cal,50.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:13:05 AM EET,EMR,45.0,Auto/Moto/Scooter/Ciclomotore,35.0,0.0,0.0,0.0,Diesel,0.0131425,0.0005914125,0.001127,5.0715e-05,5.8488885,0.26319998250000004
2020/06/05 9:13:07 AM EET,Ven,51.0,Auto/Moto/Scooter/Ciclomotore,20.0,0.0,0.0,0.0,Diesel,0.00751,0.00038301000000000003,0.000644,3.2844000000000006e-05,3.3422219999999996,0.170453322
2020/06/05 9:13:08 AM EET,Lomb,49.0,Auto/Moto/Scooter/Ciclomotore,20.0,0.0,0.0,0.0,Benzina,0.00751,0.00036799,0.000644,3.1556e-05,3.3422219999999996,0.16376887799999998
2020/06/05 9:13:15 AM EET,EMR,50.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:13:23 AM EET,EMR,28.0,Auto/Moto/Scooter/Ciclomotore,22.0,0.0,0.0,0.0,GPL,0.008261,0.00023130799999999997,0.0007084,1.98352e-05,3.6764441999999997,0.10294043759999999
2020/06/05 9:13:42 AM EET,Ven,50.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:13:43 AM EET,EMR,62.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:14:10 AM EET,Ven,35.0,Auto/Moto/Scooter/Ciclomotore,20.0,0.0,0.0,1.0,Diesel,0.00751,0.00026285,0.000644,2.254e-05,3.3422219999999996,0.11697777
2020/06/05 9:14:16 AM EET,Lomb,53.0,Auto/Moto/Scooter/Ciclomotore,100.0,0.0,0.0,0.0,Diesel,0.03755,0.00199015,0.0032199999999999998,0.00017065999999999997,16.71111,0.8856888300000001
2020/06/05 9:14:24 AM EET,Ven,16.0,Auto/Moto/Scooter/Ciclomotore,10.0,0.0,0.0,0.0,Metano,0.003755,6.008e-05,0.000322,5.152e-06,1.6711109999999998,0.026737775999999998
2020/06/05 9:14:26 AM EET,Laz,55.0,Auto/Moto/Scooter/Ciclomotore,36.0,0.0,0.0,0.0,Benzina,0.013518,0.00074349,0.0011592,6.375599999999999e-05,6.0159996,0.330879978
2020/06/05 9:14:33 AM EET,Cal,60.0,Auto/Moto/Scooter/Ciclomotore,5.0,5.0,5.0,5.0,Diesel,0.0018775,0.00011265,0.000161,9.66e-06,0.8355554999999999,0.05013333
2020/06/05 9:14:37 AM EET,EMR,45.0,Auto/Moto/Scooter/Ciclomotore,34.0,0.0,0.0,0.0,Diesel,0.012766999999999999,0.000574515,0.0010948,4.9266e-05,5.6817774,0.255679983
2020/06/05 9:14:40 AM EET,EMR,40.0,Bicicletta/monopattino,0.0,0.0,5.0,0.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,,,,,,
2020/06/05 9:14:48 AM EET,FVG,39.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:15:05 AM EET,Ven,60.0,Auto/Moto/Scooter/Ciclomotore,17.0,0.0,0.0,0.0,Diesel,0.006383499999999999,0.00038301,0.0005474,3.2844e-05,2.8408887,0.170453322
2020/06/05 9:15:08 AM EET,Ven,60.0,Auto/Moto/Scooter/Ciclomotore,5.0,0.0,0.0,0.0,Benzina,0.0018775,0.00011265,0.000161,9.66e-06,0.8355554999999999,0.05013333
2020/06/05 9:15:15 AM EET,Abr,55.0,Auto/Moto/Scooter/Ciclomotore,24.0,0.0,0.0,0.0,Benzina,0.009012000000000001,0.0004956600000000001,0.0007727999999999999,4.250399999999999e-05,4.0106664,0.220586652
2020/06/05 9:15:22 AM EET,EMR,40.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:15:47 AM EET,Pug,10.0,Auto/Moto/Scooter/Ciclomotore,60.0,0.0,0.0,0.0,Diesel,0.02253,0.0002253,0.001932,1.932e-05,10.026665999999999,0.10026666
2020/06/05 9:16:01 AM EET,Ven,50.0,Mezzi pubblici (autobus/tram/treno...),,,,,,,,,,,
2020/06/05 9:16:08 AM EET,Cam,24.0,Auto/Moto/Scooter/Ciclomotore,55.0,0.0,0.0,0.1,Diesel,0.0206525,0.00049566,0.001771,4.2504e-05,9.191110499999999,0.22058665199999997
2020/06/05 9:16:08 AM EET,Ven,52.0,Auto/Moto/Scooter/Ciclomotore,30.0,0.0,0.0,0.0,Ibrido,0.011265,0.00058578,0.000966,5.0231999999999996e-05,5.013332999999999,0.260693316
2020/06/05 9:16:08 AM EET,Ven,12.0,Auto/Moto/Scooter/Ciclomotore,80.0,0.0,0.0,0.0,Ibrido,0.03004,0.00036048000000000005,0.002576,3.0912000000000005e-05,13.368887999999998,0.16042665599999997
2020/06/05 9:16:13 AM EET,EMR,53.0,Auto/Moto/Scooter/Ciclomotore,40.0,0.0,0.0,0.0,Diesel,0.01502,0.00079606,0.001288,6.826400000000001e-05,6.684443999999999,0.35427553199999995
2020/06/05 9:16:16 AM EET,Ven,44.0,Bicicletta/monopattino,0.0,0.0,10.0,0.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,,,,,,
2020/06/05 9:16:18 AM EET,EMR,35.0,Bicicletta/monopattino,0.0,0.0,6.0,0.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,,,,,,
2020/06/05 9:16:23 AM EET,Ven,33.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:16:29 AM EET,Pie,22.0,Auto/Moto/Scooter/Ciclomotore,30.0,0.0,0.0,0.0,Diesel,0.011265,0.00024783000000000004,0.000966,2.1252e-05,5.013332999999999,0.11029332599999998
2020/06/05 9:16:30 AM EET,Tos,40.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:16:32 AM EET,EMR,50.0,Bicicletta/monopattino,0.0,0.0,8.0,0.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,,,,,,
2020/06/05 9:16:39 AM EET,Pie,33.0,Bicicletta/monopattino,0.0,0.0,6.0,0.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,,,,,,
2020/06/05 9:16:44 AM EET,EMR,50.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:16:50 AM EET,FVG,60.0,Auto/Moto/Scooter/Ciclomotore,118.0,0.0,0.0,0.0,Diesel,0.044308999999999994,0.0026585399999999996,0.0037995999999999998,0.000227976,19.7191098,1.1831465879999998
2020/06/05 9:17:16 AM EET,Pie,4.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:17:25 AM EET,EMR,36.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:17:25 AM EET,Abr,51.0,Auto/Moto/Scooter/Ciclomotore,40.0,0.0,0.0,0.0,GPL,0.01502,0.0007660200000000001,0.001288,6.568800000000001e-05,6.684443999999999,0.340906644
2020/06/05 9:17:54 AM EET,Lomb,60.0,Auto/Moto/Scooter/Ciclomotore,52.0,0.0,0.0,0.0,Diesel,0.019525999999999998,0.0011715599999999999,0.0016744,0.00010046399999999999,8.6897772,0.521386632
2020/06/05 9:18:08 AM EET,EMR,0.0,Mezzi pubblici (autobus/tram/treno...),,,,,,,,,,,
2020/06/05 9:18:29 AM EET,Lomb,50.0,A piedi,0.0,0.0,0.0,2.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,,,,,,
2020/06/05 9:18:48 AM EET,Ven,30.0,Auto/Moto/Scooter/Ciclomotore,50.0,0.0,0.0,0.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,0.018775,0.0005632500000000001,0.0016099999999999999,4.8299999999999995e-05,8.355555,0.25066665000000005
2020/06/05 9:18:50 AM EET,Lomb,57.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:18:53 AM EET,Ven,44.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:18:57 AM EET,Ven,0.0,Auto/Moto/Scooter/Ciclomotore,30.0,0.0,0.0,0.0,Diesel,0.011265,0.0,0.000966,0.0,5.013332999999999,0.0
2020/06/05 9:19:00 AM EET,ISPRA,60.0,Auto/Moto/Scooter/Ciclomotore,23.0,0.0,0.0,0.0,Benzina,0.0086365,0.0005181900000000001,0.0007406,4.4436000000000006e-05,3.8435553,0.23061331799999998
